,Location,Number,URL,Council District,Date Received,Last Changed Date,Expiration Date,Mover,Second,geojson,Votes
0,"San Fernando Rd., from Sunland Blvd to Hollywood Way -Active Railway",21-4118-S4,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S4,2,2021-09-21,2021-12-02,2023-10-15,PAUL KREKORIAN,MITCH O'FARRELL,"[{'lat': 34.2190829, 'lng': -118.3690357}, {'lat': 34.2264774, 'lng': -118.3789612}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MARK RIDLEY-THOMAS"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
1,2247 Pontius (between Tennessee Avenue and Olympic Boulevard),21-4118-S9,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S9,5,2021-10-05,2022-05-04,2023-10-29,PAUL KORETZ,PAUL KREKORIAN,"[{'lat': 34.0384394, 'lng': -118.4376537}, {'lat': 34.03957735989748, 'lng': -118.4385066462133}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""ABSENT""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
2,Dominguez Channel - South of Grant St. and East of Henry Ford Ave. - wash,22-4118-S3,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S3,15,2022-05-10,2022-06-08,2024-06-07,JOE BUSCAINO,JOHN S. LEE,"[{'lat': 33.785121715529776, 'lng': -118.23517365066971}, {'lat': 33.777594640343786, 'lng': -118.24107908964025}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""ABSENT""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""ABSENT""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""ABSENT""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""ABSENT""}]"
3,5300 block of Sale Avenue,22-4118-S6,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S6,3,2022-06-03,2022-06-29,2024-06-24,BOB BLUMENFIELD,MONICA RODRIGUEZ,"[{'lat': 34.16590155400002, 'lng': -118.61794057350203}, {'lat': 34.16600683104639, 'lng': -118.6166689023373}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""ABSENT""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""ABSENT""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""ABSENT""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""YES""}]"
4,LA River - Between Owensmouth Avenue and Lindley Avenue - Wash,22-4118-S15,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S15,3,2022-11-22,2022-12-07,2024-12-06,BOB BLUMENFIELD,"CURREN D. PRICE, JR.","[{'lat': 34.19511190531145, 'lng': -118.60154431390966}, {'lat': 34.194929166026185, 'lng': -118.58049266025806}, {'lat': 34.19059551880617, 'lng': -118.5699194914595}, {'lat': 34.19021961465297, 'lng': -118.5578129323769}, {'lat': 34.18781772764161, 'lng': -118.5525736901024}, {'lat': 34.18766108047523, 'lng': -118.54790255828406}, {'lat': 34.190245721745704, 'lng': -118.54042243609389}, {'lat': 34.18997846526688, 'lng': -118.53567688339187}, {'lat': 34.18561036953171, 'lng': -118.52728549792857}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""6"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""ABSENT""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
5,North and South Weddington Park - Public Park,23-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=23-4118-S2,2,2023-02-03,2023-02-17,2025-02-15,PAUL KREKORIAN,TIM MCOSKER,"[{'lat': 34.1450297, 'lng': -118.3665021}, {'lat': 34.140967, 'lng': -118.3647792}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""6"", ""Vote"": ""ABSENT""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""EUNISSES HERNANDEZ"", ""CD"": ""1"", ""Vote"": ""ABSENT""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""TIM MCOSKER"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""TRACI PARK"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HUGO SOTO-MARTINEZ"", ""CD"": ""13"", ""Vote"": ""NO""}, {""Member Name"": ""KATY YAROSLAVSKY"", ""CD"": ""5"", ""Vote"": ""NO""}]"
6,East 4th Street - 4th Street Bridge,23-4118-S5,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=23-4118-S5,14,2023-11-03,2023-12-13,2025-12-08,KEVIN DE LEON,MONICA RODRIGUEZ,"[{'lat': 34.0421588, 'lng': -118.2260562}, {'lat': 34.04166536610624, 'lng': -118.23034773809565}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""EUNISSES HERNANDEZ"", ""CD"": ""1"", ""Vote"": ""NO""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""TIM MCOSKER"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""IMELDA PADILLA"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""TRACI PARK"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HUGO SOTO-MARTINEZ"", ""CD"": ""13"", ""Vote"": ""NO""}, {""Member Name"": ""KATY YAROSLAVSKY"", ""CD"": ""5"", ""Vote"": ""NO""}]"
7,E Line between Arlington Ave and the City of Culver City,25-4118-S11,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=25-4118-S11,10,2025-09-09,2025-09-16,2027-09-16,HEATHER HUTT,TRACI PARK,"[{'lat': 34.028723439702304, 'lng': -118.38803909795921}, {'lat': 34.02328000814076, 'lng': -118.34047924781012}, {'lat': 34.01898699575344, 'lng': -118.31848144086976}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""EUNISSES HERNANDEZ"", ""CD"": ""1"", ""Vote"": ""NO""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""YSABEL JURADO"", ""CD"": ""14"", ""Vote"": ""NO""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""TIM MCOSKER"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""ADRIN NAZARIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""IMELDA PADILLA"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""TRACI PARK"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""ABSENT""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HUGO SOTO-MARTINEZ"", ""CD"": ""13"", ""Vote"": ""NO""}, {""Member Name"": ""KATY YAROSLAVSKY"", ""CD"": ""5"", ""Vote"": ""YES""}]"
8,7269 to 7213 Geyser Avenue,24-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=24-4118-S2,3,2024-05-08,2024-06-07,2026-05-31,BOB BLUMENFIELD,KEVIN DE LEON,"[{'lat': 34.20213445897147, 'lng': -118.5426935286503}, {'lat': 34.2016172, 'lng': -118.5426192}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""EUNISSES HERNANDEZ"", ""CD"": ""1"", ""Vote"": ""NO""}, {""Member Name"": ""HEATHER HUTT"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""TIM MCOSKER"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""IMELDA PADILLA"", ""CD"": ""6"", ""Vote"": ""ABSENT""}, {""Member Name"": ""TRACI PARK"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HUGO SOTO-MARTINEZ"", ""CD"": ""13"", ""Vote"": ""NO""}, {""Member Name"": ""KATY YAROSLAVSKY"", ""CD"": ""5"", ""Vote"": ""NO""}]"
9,Avenue San Luis and Del Valle Street (East of Crespi St.),21-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S2,3,2021-09-21,2021-10-20,2023-10-15,BOB BLUMENFIELD,PAUL KREKORIAN,"[{'lat': 34.163342896720266, 'lng': -118.62686224780133}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MARK RIDLEY-THOMAS"", ""CD"": ""10"", ""Vote"": ""ABSENT""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
